ca_type,indb.cms_enb,
call_end_time,mbp.query_hive_20730,
call_type,indb.call_points,
car_cnt,mbp.parking_index_car_weekend_score_sum,
car_score,mbp.parking_index_car_weekend_score_sum,
card_ceda_num,indb.cms_bts,
card_cema_num,indb.cms_bts,
card_num,indb.cms_enb,카드 번호
card_type,indb.cms_enb,카드 종류
caroiltype,indb.tmap_rprsd,
cat,indb.call_points,
cate_data,indb.tmap_poimeta_monthly,
cate_nm_t1,indb.tmap_poimeta_monthly,
cate_nm_t2,indb.tmap_poimeta_monthly,
cate_priority,indb.tmap_poimeta_monthly,
category,mbp.life_style_match_cell_day,분류
category_code,indb.tmap_poimeta_monthly,분류 코드
category_major,mbp.twifi_ap,
category_name,indb.tmap_poimeta_category_monthly,분류 명
category1,mbp.life_style_match_time,
cb_name,mbp.life_style_match_cell_day,
cc_name,mbp.life_style_match_cell_day,
cd_name,mbp.life_style_match_cell_day,
cduse_00_amt,mbp.hd_card_dms_mon_sales_est_time,
cduse_01_amt,mbp.hd_card_dms_mon_sales_est_time,
cduse_02_amt,mbp.hd_card_dms_mon_sales_est_time,
cduse_03_amt,mbp.hd_card_dms_mon_sales_est_time,
cduse_04_amt,mbp.hd_card_dms_mon_sales_est_time,
cduse_05_amt,mbp.hd_card_dms_mon_sales_est_time,
cduse_06_amt,mbp.hd_card_dms_mon_sales_est_time,
cduse_07_amt,mbp.hd_card_dms_mon_sales_est_time,
cduse_08_amt,mbp.hd_card_dms_mon_sales_est_time,
cduse_09_amt,mbp.hd_card_dms_mon_sales_est_time,
cduse_10_amt,mbp.hd_card_dms_mon_sales_est_time,
cduse_11_amt,mbp.hd_card_dms_mon_sales_est_time,
cduse_12_amt,mbp.hd_card_dms_mon_sales_est_time,
cduse_13_amt,mbp.hd_card_dms_mon_sales_est_time,
cduse_14_amt,mbp.hd_card_dms_mon_sales_est_time,
cduse_15_amt,mbp.hd_card_dms_mon_sales_est_time,
cduse_16_amt,mbp.hd_card_dms_mon_sales_est_time,
cduse_17_amt,mbp.hd_card_dms_mon_sales_est_time,
cduse_18_amt,mbp.hd_card_dms_mon_sales_est_time,
cduse_19_amt,mbp.hd_card_dms_mon_sales_est_time,
cduse_20_amt,mbp.hd_card_dms_mon_sales_est_time,
cduse_21_amt,mbp.hd_card_dms_mon_sales_est_time,
cduse_22_amt,mbp.hd_card_dms_mon_sales_est_time,
cduse_23_amt,mbp.hd_card_dms_mon_sales_est_time,
cduse_amt,mbp.hd_card_dms_mon_sales_est_sum_gb,
ce_type,indb.app_code,
ce_yn,indb.app_code,
cell_id,mbp.bloc_05_groupby_cell,
cell_lat,indb.pcell_lte_utmk,
cell_lon,indb.pcell_lte_utmk,
cell_name,mbp.cms_cell_day_tmp,
cell_name_bld,mbp.cms_cell_day_tmp,
cell_name_ktx,mbp.cms_cell_day_tmp,
cell_name_rail,mbp.cms_cell_day_tmp,
cell_name_sea,mbp.cms_cell_day_tmp,
cell_name_sub,mbp.cms_cell_day_tmp,
cell_type,indb.cms_enb,
cellnum,indb.cms_subway_ru,
cellnum_hex,indb.cms_subway_ru,
center_wgs84_lat,indb.tmap_poimeta_monthly,
center_wgs84_lon,indb.tmap_poimeta_monthly,
center_x,mbp.quarter_dmm_sido,x좌표
center_y,mbp.quarter_dmm_sido,y좌표
centerdx,mbp.rto_index50_xy_utmk,x좌표
centerdy,mbp.rto_index50_xy_utmk,y좌표
centroidx,mbp.rto_final_before,x좌표
centroidx_avg,mbp.bloc_05_exist_pop_list_tmp,
centroidy,mbp.rto_final_before,y좌표
centroidy_avg,mbp.bloc_05_exist_pop_list_tmp,
channelcd,indb.tmap_rprsd,
check_time,mbp.life_style_match_time,
chg_dt,mbp.hd_card_bizmstr_close_building,
cho_name_data,indb.tmap_poimeta_monthly,
cho_name_org,indb.tmap_poimeta_monthly,
city,indb.cms_ru,도시
city_id,mbp.cust_info,도시 아이디
city_name,mbp.cust_info,도시 명
class_a,indb.tmap_poimeta_monthly,
class_a_name,indb.tmap_poimeta_category_monthly,
class_b,indb.tmap_poimeta_monthly,
class_b_name,indb.tmap_poimeta_category_monthly,
class_c,indb.tmap_poimeta_monthly,
class_c_name,indb.tmap_poimeta_category_monthly,
class_cd_data,indb.tmap_poimeta_monthly,
class_d,indb.tmap_poimeta_monthly,
class_d_name,indb.tmap_poimeta_category_monthly,
class_nm_data,indb.tmap_poimeta_monthly,
clbiz_dt,mbp.hd_card_bizmstr_close_building,
clbiz_sct_nm,mbp.hd_card_bizmstr_close_building,
cluster,mbp.parking_index_wk_plc_pop_index,
cluster_id,indb.base_fmly_cluster_monthly,
cms_flag,indb.cms_ru,
cnt,mbp.bloc_05_exist_pop_cnt_roaming,개수
cntr_org_cd,indb.loc_roaming,
cntrct_mgmt_num,indb.td_zord_svc_addr_ref,
co2_quantity,indb.tmap_routehistory1,
code,mbp.cust_mcc,
comp_nm,indb.call_points,
company_id,indb.cms_enb,
company_name,indb.cms_bts,
connect_rutype,indb.cms_ru,
controlhistoryno,indb.tmap_rprsd,
country,mbp.cust_mcc,나라
crnt_lobz_nm,mbp.r114_dmr_shop_sale,
ctprvn_cd,mbp.hd_card_bizmstr_close_building,
ctprvn_nm,mbp.hd_card_bizmstr_close_building,
ctz_corp_biz_num_pinf,indb.td_zord_cust,
ctz_corp_biz_ser_num,indb.td_zord_cust,
ctz_corp_ser_num,indb.td_zord_wlf_dc_cust_hst,
current_adm_dong_cd,mbp.bloc_od_visitor_dong_roaming,
current_adm_sigungu_cd,mbp.bloc_od_visitor_sigungu_roaming,
cust_age_cd,indb.base_demo_pred_monthly,
cust_cd,mbp.query_hive_20730,
cust_dtl_typ_cd,indb.td_zord_cust,
cust_num,indb.td_zord_svc_addr_ref,
cust_rgst_dt,indb.td_zord_cust,
cust_typ_cd,indb.td_zord_cust,
dangerareaoption,indb.tmap_rprsd,
data_load_dt,mbp.r114_dmr_shop_sale,
data_type,mbp.bloc_statistic_week,
date_str,mbp.comm_holidays,
day_pop,mbp.rto_bin_so_weight,
day_type,mbp.rto_final_before,
db_kind,indb.tmap_poimeta_monthly,
db_type,indb.pcell_wcdma,
dcls_cd,mbp.quarter_dmm_flspnr,
dcls_nm,mbp.quarter_dmm_flspnr,
degreex,mbp.cms_cell_day_adm_daily_view,위도
degreey,mbp.cms_cell_day_adm_daily_view,경도
del_flag,indb.td_zord_wlf_dc_cust_hst,
del_svc_cd,indb.tmap_poimeta_monthly,
depart_name,indb.tmap_routehistory1,
depart_xpos,indb.tmap_rprsd,
depart_ypos,indb.tmap_rprsd,
departname,indb.tmap_rprsd,
desc,indb.tmap_favorate,
description,indb.app_group,설명
dest_name,indb.tmap_rprsd,
dest_option,indb.tmap_rprsd,
dest_poiid,indb.tmap_rprsd,
dest_rpflag,indb.tmap_routehistory1,
dest_xpos,indb.tmap_rprsd,
dest_ypos,indb.tmap_rprsd,
detail,indb.call_points,
detail_addr,mbp.cust_info,
detail_info_yn,indb.tmap_poimeta_monthly,
detaillocflag,indb.tmap_rprsd,
dir,indb.tmap_rprsd,디렉토리
dirpriority,indb.tmap_rprsd,
distance,mbp.rto_n3,
do_cd,mbp.rto_census_adm,
do_code,mbp.parking_time_monthly_rate,
do_name,mbp.rto_census_adm,
dong,mbp.cust_info,동
dong_cnt,mbp.quarter_dmm_aphus_hsmp,동 개수
dong_code,mbp.rto_census_adm,동 코드
dong_id,mbp.cust_info,동 아이디
dong_name,mbp.rto_census_adm,동 이름
dong_no,mbp.hd_card_bizmstr_close_building,동 번호
dst_adm_code,mbp.query_hive_20730,목적지 행정동 코드
dst_adm_end_time,mbp.query_hive_20730,
dst_adm_incoming_time,mbp.query_hive_20730,목적지에 들어온 시간
dst_adm_stay_time,mbp.bloc_od_tmp_roaming,머문 시간
dst_c_uid,mbp.query_hive_20730,목적지 기지국 아이디
dst_cell_id,mbp.query_hive_20730,목적지 기지국 아이디
dt,mbp.twifi_ap,YYYYMMDD
dt_tm,mbp.bloc_05_groupby_cell,YYYYMMDD_
dtl_addr,indb.td_zord_svc_addr_ref,
du_version,indb.cms_enb,
dummy,mbp.dual,
eff_end_dtm,indb.td_zord_wlf_dc_cust_hst,
eff_sta_dtm,indb.td_zord_wlf_dc_cust_hst,
ehi,mbp.quarter_biz_income,
ehi_sum,mbp.quarter_biz_income,
ems_bts_name,indb.cms_enb,
ems_id,indb.cms_enb,
ems_name,indb.cms_enb,
enb_group,indb.cms_enb,
enb_id,mbp.cms_enb_juso,기지국 아이디
