테이블명,설명
mbp.rto_advanced,- RTO 데이터
mbp.rto_bin_so_weight,
mbp.rto_census_adm,
mbp.rto_daily,- 최근 날짜 RTO 데이터
mbp.rto_daily_tmp1,
mbp.rto_daily_tmp2,
mbp.rto_final,
mbp.rto_final_before,
mbp.rto_index50_xy_utmk,
mbp.rto_n3,
mbp.rto_reg_area,
mbp.rto_remake_tmp,
mbp.rto_remake_tmp_before,
mbp.rto_remake_tmp_before1,
mbp.rto_so_area,
mbp.test,
mbp.tmp_dual,
mbp.tmp_ingu_0128,
mbp.twifi_ap,
